Well,Electrode,Active_electrodes,Spikes,Mean Firing Rate,Mean Inter-Spike interval,Median Inter-Spike interval,Ratio median ISI over mean ISI,Inter-spike interval variance,Coefficient of variation ISI,Partial Autocorrelaction Function ISI,Bursts,Mean Burst Rate,Mean Burst Length,Burst Length Variance,Burst Length Coefficient of Variation,Mean Inter-Burst Interval,Variance Inter-Burst Interval,Coefficient of Variation IBI,Partial Autocorrelation Function IBI,Mean Intra-Burst Firing Rate,Mean Spikes per Burst,Mean Absolute Deviation Spikes per Burst,Isolated Spikes,Mean Absolute Spike Amplitude,Median Absolute Spike Amplitude,Coefficient of Variation Absolute Spike Amplitude
1,7,0.16666666666666666,20,1.6,0.61065,0.5786250000000002,0.9475558830754117,0.054688468888888904,0.38296185742369243,-0.02385488358567952,0,0.0,,,,,,,,,,,,6311.719888134606,6484.317234675691,0.15177329326029473
1,9,0.16666666666666666,41,3.28,0.2967769230769231,0.57315,1.9312485420284595,0.0829091571597633,0.9702220092403755,-0.8964502318303277,0,0.0,,,,,,,,,,,,7317.324809673268,7429.040050238744,0.1374212158512035
1,14,0.16666666666666666,15,1.2,0.8680115384615383,1.22265,1.4085642250413193,0.5643210050591718,0.8654412863627315,-0.7344991800906893,0,0.0,,,,,,,,,,,,8607.70121033771,7904.161880424932,0.18536610140516194
2,3,0.8888888888888888,16,1.28,0.8059964285714285,0.9631750000000001,1.1950114986330145,0.5738986048086732,0.939906097549048,-0.7359529246288028,0,0.0,,,,,,,,,,,,11148.324629348328,10869.343233918551,0.25698167861189375
2,4,0.8888888888888888,15,1.2,0.8680038461538462,1.2223499999999998,1.408231087242612,0.5643077328698223,0.8654387787125711,-0.5615523882720099,0,0.0,,,,,,,,,,,,12847.548958901758,12339.532318117132,0.18273651358318527
2,5,0.8888888888888888,34,2.72,0.36831093750000005,0.645575,1.7527988834162709,0.10481990995849619,0.8790372419987688,-0.8299486428858216,0,0.0,,,,,,,,,,,,19047.445326161593,19580.46413933603,0.137945446242521
2,6,0.8888888888888888,35,2.8,0.3571515151515152,0.6435499999999998,1.8018963176650256,0.1055724262855832,0.9097514458463712,-0.8318297002223107,0,0.0,,,,,,,,,,,,11937.835557469118,12066.62827468217,0.09434450569972717
2,7,0.8888888888888888,43,3.44,0.2874634146341463,0.24350000000000005,0.847064313592398,0.08139091475907197,0.9924425701129653,-0.8067597868131945,0,0.0,,,,,,,,,,,,11814.168295123483,12450.526444453037,0.2259180010079327
2,8,0.8888888888888888,21,1.68,0.5856526315789474,0.6547999999999998,1.118068910976508,0.040116761177285375,0.341997422081472,-0.04188689850048442,0,0.0,,,,,,,,,,,,17686.349464273495,18210.322920411127,0.17959045752778394
2,9,0.8888888888888888,46,3.68,0.26786363636363636,0.0022999999999999687,0.008586458510096609,0.10236682890495871,1.1944441967165005,-0.6455754617412423,0,0.0,,,,,,,,,,,,21466.217614047746,22510.290383763073,0.3996485350822825
2,10,0.8888888888888888,38,3.04,0.32738888888888895,0.3188249999999999,0.9738418462582721,0.10630146640432102,0.9958769757558634,-0.8273638549144403,0,0.0,,,,,,,,,,,,13569.84114006803,13762.543972264462,0.22429428966181977
2,11,0.8888888888888888,34,2.72,0.36831093750000005,0.646175,1.7544279417441953,0.10469420792724599,0.878510004786666,-0.7754044083131605,0,0.0,,,,,,,,,,,,16584.305042113217,18990.839471926665,0.2900617273289243
2,12,0.8888888888888888,30,2.4,0.4209285714285715,0.6512000000000007,1.5470558289496026,0.09780118079081636,0.7429569397760588,-0.6082296856191334,0,0.0,,,,,,,,,,,,25157.251569878066,29570.989253199416,0.29434729694853806
2,13,0.8888888888888888,25,2.0,0.48375,0.6540500000000016,1.3520413436692538,0.08218579826086964,0.5926215101602986,-0.3839982931093107,0,0.0,,,,,,,,,,,,39394.845078053186,45784.63691406601,0.2908383012685864
2,14,0.8888888888888888,22,1.76,0.57008,0.6000000000000002,1.0524838619141177,0.017033918600000062,0.22893989471970275,-0.0013585939613073306,0,0.0,,,,,,,,,,,,33873.68359844961,34203.81744840401,0.12389196228654613
2,15,0.8888888888888888,25,2.0,0.49579999999999996,0.5994000000000002,1.2089552238805974,0.051116020869565224,0.4560075119186753,-0.1692102386643124,0,0.0,,,,,,,,,,,,34848.90790826847,40003.31666097856,0.3537687080844489
2,16,0.8888888888888888,28,2.24,0.438523076923077,0.5992249999999997,1.3664617246702206,0.07044105331360936,0.6052300293161927,-0.3433468571200772,0,0.0,,,,,,,,,,,,28469.500622982752,32704.79247421404,0.3282774555817665
2,17,0.8888888888888888,21,1.68,0.6000184210526317,0.6000500000000004,1.0000526299631156,1.102686980609547e-06,0.0017500946600413608,0.321307251935006,0,0.0,,,,,,,,,,,,35660.35352924366,35452.25244595365,0.03814066707538214
2,18,0.8888888888888888,28,2.24,0.4384769230769231,0.5991,1.3663204799831583,0.07038517965976332,0.6050536292019515,-0.3970423932698422,0,0.0,,,,,,,,,,,,22199.203500966174,26214.477419798615,0.3721829331102066
3,1,0.2777777777777778,24,1.92,0.5182,0.5995749999999997,1.1570339637205707,0.04205802795454542,0.3957555773165421,-0.11411393111319657,0,0.0,,,,,,,,,,,,34599.86430527,37865.6976509129,0.2682734720216703
3,2,0.2777777777777778,26,2.08,0.4750166666666667,0.59945,1.2619557208518999,0.05903571701388901,0.5115034571748096,-0.2869084272871188,0,0.0,,,,,,,,,,,,43992.98464751988,51194.118143732805,0.3493376230295475
3,3,0.2777777777777778,23,1.84,0.5428738095238096,0.5994999999999999,1.1043082010640022,0.030630756337868482,0.32238881824189936,-0.05725125929765989,0,0.0,,,,,,,,,,,,61570.6534407561,66803.11906904468,0.28393222473131147
3,4,0.2777777777777778,22,1.76,0.57002,0.5999999999999998,1.0525946458019013,0.016926914100000044,0.22824370125346197,-0.04748146808277049,0,0.0,,,,,,,,,,,,52598.28424288593,54317.657255687795,0.196117814299221
3,7,0.2777777777777778,39,3.12,0.32927837837837837,0.5503,1.6712302906437502,0.07319004358655957,0.8216044609260197,-0.6707557524138208,0,0.0,,,,,,,,,,,,9834.963150689016,11297.085593526717,0.29067162432619315
