,Well,Electrode,Active_electrodes,Spikes,Mean Firing Rate,Mean Inter-Spike interval,Median Inter-Spike interval,Ratio median ISI over mean ISI,Inter-spike interval variance,Coefficient of variation ISI,Partial Autocorrelaction Function ISI,Bursts,Mean Burst Rate,Mean Burst Length,Burst Length Variance,Burst Length Coefficient of Variation,Mean Inter-Burst Interval,Variance Inter-Burst Interval,Coefficient of Variation IBI,Partial Autocorrelation Function IBI,Mean Intra-Burst Firing Rate,Mean Spikes per Burst,Mean Absolute Deviation Spikes per Burst,Isolated Spikes,Mean Absolute Spike Amplitude,Median Absolute Spike Amplitude,Coefficient of Variation Absolute Spike Amplitude,Network Bursts,Mean Network Burst Duration,Mean Network Burst Core Duration,Coefficient of Variation Network Burst Core Duration,Network Inter-Burst Interval,Partial Autocorrelation Function NIBI,Network Burst to Network Burst Core ratio,NIBI Variance,Coefficient of Variation NIBI,Mean Spikes per Network Burst,Network Burst Firing Rate,Network Burst ISI,Portion of Spikes in Network Bursts,Portion of Bursts in Network Bursts,Ratio Left Outer NB over NB Core,Ratio Right Outer NB over NB Core,Ratio Left Outer over Right Outer NB,Participating Electrodes
0,1.0,7.0,0.4444444444444444,20.0,1.6,0.61065,0.5786250000000002,0.9475558830754116,0.0546884688888889,0.3829618574236924,-0.0238548835856795,0.0,0.0,,,,,,,,,,,,6311.719888134606,6484.317234675691,0.1517732932602947,,,,,,,,,,,,,,,,,,
1,1.0,9.0,0.4444444444444444,41.0,3.28,0.2967769230769231,0.57315,1.9312485420284595,0.0829091571597633,0.9702220092403756,-0.8964502318303277,0.0,0.0,,,,,,,,,,,,7317.324809673268,7429.040050238744,0.1374212158512035,,,,,,,,,,,,,,,,,,
2,1.0,14.0,0.4444444444444444,15.0,1.2,0.8680115384615383,1.22265,1.4085642250413193,0.5643210050591718,0.8654412863627315,-0.7344991800906893,0.0,0.0,,,,,,,,,,,,8607.70121033771,7904.161880424932,0.1853661014051619,,,,,,,,,,,,,,,,,,
3,1.0,21.0,0.4444444444444444,16.0,1.28,0.8059964285714285,0.963175,1.1950114986330145,0.5738986048086732,0.939906097549048,-0.7359529246288028,0.0,0.0,,,,,,,,,,,,11148.324629348328,10869.343233918553,0.2569816786118937,,,,,,,,,,,,,,,,,,
4,1.0,22.0,0.4444444444444444,15.0,1.2,0.8680038461538462,1.2223499999999998,1.408231087242612,0.5643077328698223,0.8654387787125711,-0.5615523882720099,0.0,0.0,,,,,,,,,,,,12847.548958901758,12339.532318117132,0.1827365135831852,,,,,,,,,,,,,,,,,,
5,1.0,23.0,0.4444444444444444,34.0,2.72,0.3683109375,0.645575,1.7527988834162709,0.1048199099584961,0.8790372419987688,-0.8299486428858216,0.0,0.0,,,,,,,,,,,,19047.445326161596,19580.46413933603,0.137945446242521,,,,,,,,,,,,,,,,,,
6,1.0,24.0,0.4444444444444444,35.0,2.8,0.3571515151515152,0.6435499999999998,1.8018963176650256,0.1055724262855832,0.9097514458463712,-0.8318297002223107,0.0,0.0,,,,,,,,,,,,11937.835557469118,12066.62827468217,0.0943445056997271,,,,,,,,,,,,,,,,,,
7,1.0,25.0,0.4444444444444444,43.0,3.44,0.2874634146341463,0.2435,0.847064313592398,0.0813909147590719,0.9924425701129652,-0.8067597868131945,0.0,0.0,,,,,,,,,,,,11814.168295123483,12450.526444453037,0.2259180010079327,,,,,,,,,,,,,,,,,,
8,1.0,26.0,0.4444444444444444,21.0,1.68,0.5856526315789474,0.6547999999999998,1.118068910976508,0.0401167611772853,0.341997422081472,-0.0418868985004844,0.0,0.0,,,,,,,,,,,,17686.349464273495,18210.322920411127,0.1795904575277839,,,,,,,,,,,,,,,,,,
9,1.0,27.0,0.4444444444444444,46.0,3.68,0.2678636363636363,0.0022999999999999,0.0085864585100966,0.1023668289049587,1.1944441967165005,-0.6455754617412423,0.0,0.0,,,,,,,,,,,,21466.217614047742,22510.290383763077,0.3996485350822825,,,,,,,,,,,,,,,,,,
10,1.0,28.0,0.4444444444444444,38.0,3.04,0.3273888888888889,0.3188249999999999,0.973841846258272,0.106301466404321,0.9958769757558634,-0.8273638549144403,0.0,0.0,,,,,,,,,,,,13569.84114006803,13762.543972264462,0.2242942896618197,,,,,,,,,,,,,,,,,,
11,1.0,29.0,0.4444444444444444,34.0,2.72,0.3683109375,0.646175,1.7544279417441953,0.1046942079272459,0.878510004786666,-0.7754044083131605,0.0,0.0,,,,,,,,,,,,16584.305042113217,18990.839471926665,0.2900617273289243,,,,,,,,,,,,,,,,,,
12,1.0,30.0,0.4444444444444444,30.0,2.4,0.4209285714285715,0.6512000000000007,1.5470558289496026,0.0978011807908163,0.7429569397760588,-0.6082296856191334,0.0,0.0,,,,,,,,,,,,25157.251569878063,29570.989253199416,0.294347296948538,,,,,,,,,,,,,,,,,,
13,1.0,31.0,0.4444444444444444,25.0,2.0,0.48375,0.6540500000000016,1.3520413436692538,0.0821857982608696,0.5926215101602986,-0.3839982931093107,0.0,0.0,,,,,,,,,,,,39394.84507805319,45784.63691406601,0.2908383012685864,,,,,,,,,,,,,,,,,,
14,1.0,32.0,0.4444444444444444,22.0,1.76,0.57008,0.6000000000000002,1.0524838619141177,0.0170339186,0.2289398947197027,-0.0013585939613073,0.0,0.0,,,,,,,,,,,,33873.68359844961,34203.81744840401,0.1238919622865461,,,,,,,,,,,,,,,,,,
15,1.0,33.0,0.4444444444444444,25.0,2.0,0.4957999999999999,0.5994000000000002,1.2089552238805974,0.0511160208695652,0.4560075119186753,-0.1692102386643124,0.0,0.0,,,,,,,,,,,,34848.90790826847,40003.31666097856,0.3537687080844489,,,,,,,,,,,,,,,,,,
16,1.0,34.0,0.4444444444444444,28.0,2.24,0.438523076923077,0.5992249999999997,1.3664617246702206,0.0704410533136093,0.6052300293161927,-0.3433468571200772,0.0,0.0,,,,,,,,,,,,28469.500622982752,32704.79247421404,0.3282774555817665,,,,,,,,,,,,,,,,,,
17,1.0,35.0,0.4444444444444444,21.0,1.68,0.6000184210526317,0.6000500000000004,1.0000526299631156,1.102686980609547e-06,0.0017500946600413,0.321307251935006,0.0,0.0,,,,,,,,,,,,35660.35352924366,35452.25244595365,0.0381406670753821,,,,,,,,,,,,,,,,,,
18,1.0,36.0,0.4444444444444444,28.0,2.24,0.4384769230769231,0.5991,1.3663204799831583,0.0703851796597633,0.6050536292019515,-0.3970423932698422,0.0,0.0,,,,,,,,,,,,22199.20350096617,26214.47741979861,0.3721829331102066,,,,,,,,,,,,,,,,,,
19,1.0,37.0,0.4444444444444444,24.0,1.92,0.5182,0.5995749999999997,1.1570339637205709,0.0420580279545454,0.3957555773165421,-0.1141139311131965,0.0,0.0,,,,,,,,,,,,34599.86430527,37865.6976509129,0.2682734720216703,,,,,,,,,,,,,,,,,,
20,1.0,38.0,0.4444444444444444,26.0,2.08,0.4750166666666667,0.59945,1.2619557208519,0.059035717013889,0.5115034571748096,-0.2869084272871188,0.0,0.0,,,,,,,,,,,,43992.98464751988,51194.118143732805,0.3493376230295475,,,,,,,,,,,,,,,,,,
21,1.0,39.0,0.4444444444444444,23.0,1.84,0.5428738095238096,0.5994999999999999,1.1043082010640022,0.0306307563378684,0.3223888182418993,-0.0572512592976598,0.0,0.0,,,,,,,,,,,,61570.6534407561,66803.11906904468,0.2839322247313114,,,,,,,,,,,,,,,,,,
22,1.0,40.0,0.4444444444444444,22.0,1.76,0.57002,0.5999999999999998,1.052594645801901,0.0169269141,0.2282437012534619,-0.0474814680827704,0.0,0.0,,,,,,,,,,,,52598.28424288593,54317.6572556878,0.196117814299221,,,,,,,,,,,,,,,,,,
23,1.0,43.0,0.4444444444444444,39.0,3.12,0.3292783783783783,0.5503,1.6712302906437502,0.0731900435865595,0.8216044609260197,-0.6707557524138208,0.0,0.0,,,,,,,,,,,,9834.963150689016,11297.085593526715,0.2906716243261931,,,,,,,,,,,,,,,,,,
